Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt to equity,Price to Sales,Sales growth,EPS,Free Cash generated from EBIDTA,EVEBITDA,Price to book value,EV by FCF,Merged_data,URL
Suryaamba Spinni,533101,,Textiles - Spinning - Synthetic / Blended,154.3,25.85,45.24,0.65,0.72,30.91,55.34,-17.72,7.74,0.7,0.21,-11.98,5.97,147.54,6.08,0.73,18.78,533101.0,https://www.screener.in/company/533101/consolidated/
Suryalak. Cott.,521200,SURYALAXMI,Textiles - Cotton/Blended,89.6,27.54,168.83,0.0,0.91,-59.47,238.62,11.07,8.39,0.87,0.22,-8.07,1.92,-32.87,6.71,0.64,3.75,SURYALAXMI,https://www.screener.in/company/SURYALAXMI/consolidated/
Suryalata Spg.,514138,,Textiles - Spinning - Synthetic / Blended,387.0,10.11,165.13,0.52,2.02,-56.18,117.54,12.02,9.97,0.4,0.35,-6.3,36.63,-126.93,5.91,0.67,13.57,514138.0,https://www.screener.in/company/514138/consolidated/
Suryavanshi Spg.,514140,,Textiles - Cotton/Blended,28.98,79.01,14.22,0.0,2.66,164.84,0.14,75.0,4.07,,21.55,-98.76,2.95,1100.0,32.65,,-16.08,514140.0,https://www.screener.in/company/514140/consolidated/
Suryo Foods,519604,,Aquaculture,17.0,5.96,6.74,0.0,-0.13,-208.33,0.0,,,,,,2.85,3.55,4.16,,-666.0,519604.0,https://www.screener.in/company/519604/consolidated/
Suryoday Small,543279,SURYODAY,Banks - Private Sector,192.15,8.56,2039.94,0.0,70.06,47.18,488.12,36.31,9.6,5.01,1.19,36.37,22.45,87.48,9.09,1.29,-48.02,SURYODAY,https://www.screener.in/company/SURYODAY/consolidated/
Sutlej Textiles,532782,SUTLEJTEX,Textiles - Cotton/Blended,62.95,,1027.29,1.58,-30.87,-65.35,650.0,-11.71,-6.36,0.85,0.38,-12.09,-8.22,-142.65,-250.36,1.05,21.69,SUTLEJTEX,https://www.screener.in/company/SUTLEJTEX/consolidated/
Suumaya Corp.,543274,,Trading,3.87,,9.57,0.0,-484.01,,0.0,,-465.21,,3.89,-93.71,-196.32,-0.09,-0.03,,0.35,543274.0,https://www.screener.in/company/543274/consolidated/
Suumaya Indust.,,SUULD,Trading,5.66,,38.12,0.0,-829.42,-26.28,84.37,209.84,-100.29,0.39,0.03,85.81,-175.66,-0.66,-0.55,,6.91,SUULD,https://www.screener.in/company/SUULD/consolidated/
Suven Life Scie.,530239,SUVEN,Miscellaneous,135.25,,2949.45,0.0,-28.04,-16.4,1.01,-73.42,-36.37,0.0,331.03,-35.43,-5.0,96.34,-25.1,10.92,-23.44,SUVEN,https://www.screener.in/company/SUVEN/consolidated/
Suven Pharma,543064,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,1000.0,95.07,25399.38,0.1,53.37,-56.95,252.93,-31.52,18.78,0.03,24.16,-21.56,11.8,83.28,60.1,12.41,148.31,SUVENPHAR,https://www.screener.in/company/SUVENPHAR/consolidated/
Suvidha Infra.,531640,,Construction,27.62,76.78,24.57,0.0,0.09,200.0,0.45,,26.8,,54.6,,0.36,192.31,72.13,,-108.19,531640.0,https://www.screener.in/company/531640/consolidated/
Suvidhaa Info.,543281,SUVIDHAA,Miscellaneous,5.92,,123.61,0.0,-3.43,-376.61,2.09,-74.73,-24.79,0.0,16.24,-75.68,-0.78,65.86,-32.71,2.25,2.93,SUVIDHAA,https://www.screener.in/company/SUVIDHAA/consolidated/
Suyog Gurbaxani,543391,,Construction,133.4,59.33,331.66,0.0,5.08,,52.02,,19.63,5.51,5.25,250.47,2.25,-79.93,27.59,21.03,557.96,543391.0,https://www.screener.in/company/543391/consolidated/
